Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Automation Results,Actual Result Iteration 1,"Status
 Iteration 1","Actual Result Iteration 2
(to be updated only if test case failed in Iteration 1) ","Status
 Iteration 2
(to be updated only if test case failed in Iteration 1)",Comments,Req: Reference
TC_Procedd_to_buy_14,Verification of OTP.,"1. Payment option is selected.
 2. OTP is sent to the user.",1. To verify if the user has received an OTP.,"1. To verify if the user has received an OTP.
 2. To verify that the user is able to enter the OTP.",1. OTP received by the user.,"1. Selected payment option is valid.
 2. An OTP has been sent to the registered mobile number of the user.
 3. User has received the OTP.
 4. User is able to enter the OTP.",No,,,,,,
TC_Procedd_to_buy_15,Verification of OTP.,"1. Payment option is selected.
 2. OTP is sent to the user.",1. To verify if the user has received an OTP.,"1. To verify if the user has received an OTP.
 2. To verify that the user is able to enter the OTP.",1. OTP received by the user.,"1. Selected payment option is valid.
 2. An OTP has been sent to the registered mobile number of the user.
 3. User has received the OTP.
 4. OTP is valid for 60 seconds only.",No,,,,,,
TC_Procedd_to_buy_16,Verification of confirmation of order.,"1. Payment option is selected.
 2. OTP is sent to the user.
 3. User has entered the correct OTP in the reqiured time.",1. To verify the confirmation of the order.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. User verifies the confirmation of order.",1. Confirmation messages is displayed on the screen.,"1. User has made the payment by using preferred method.
 2. User recieves an OTP.
 3. User is able to complete the payment by entering the OTP in stipulated time.",Yes,,,,,,
TC_Procedd_to_buy_17,Verification of confirmation of order.,"1. Payment option is selected.
 2. OTP is sent to the user.
 3. User has entered the correct OTP in the reqiured time.",1. To verify the confirmation of the order.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. User verifies the confirmation of order.",1. Confirmation messages is displayed on the screen.,"1. User has made the payment by using preferred method.
 2. User recieves an OTP.
 3. User is able to complete the payment by entering the OTP in stipulated time.
 4. A confirmation message appears on the screen saying "" Your order has been successfully placed "".",Yes,,,,,,
TC_Procedd_to_buy_18,Verification of confirmation of order.,"1. Payment option is selected.
 2. OTP is sent to the user.
 3. User has entered the correct OTP in the reqiured time.",1. To verify the confirmation of the order.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. User verifies the confirmation of order.",1. Confirmation messages is displayed on the screen.,"1. User has made the payment by using preferred method.
 2. User recieves an OTP.
 3. User is able to complete the payment by entering the OTP in stipulated time.
 4. A confirmation message appears on the screen saying "" Your order has been successfully placed "".
 5. Order ID is displayed with confirmation message on the screen.",Yes,,,,,,
TC_Procedd_to_buy_19,Verifiaction of cart count.,"1. Payment option is selected.
 2. User has received an OTP.
 3. User has enter the OTP.
 4. Cart is visible properly.",To validate if cart is visible properly.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. Payment is made successfully.
 5. Order has been placed.","1. Cart is visible propely.
 2. User is able to select the cart.","1. Order has been made successfully.
 2. Cart is visible properly.
 3. User is able to select the cart.",Yes,,,,,,
TC_Procedd_to_buy_20,Verifiaction of cart count.,"1. Payment option is selected.
 2. User has received an OTP.
 3. User has enter the OTP.
 4. Cart is visible properly.",To validate if cart is visible properly.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. Payment is made successfully.
 5. Order has been placed.","1. Cart is visible propely.
 2. User is able to select the cart.","1. Order has been made successfully.
 2. Cart is visible properly.
 3. User is able to select the cart.
 4. Cart count is decreamented by 1.",Yes,,,,,,
TC_Procedd_to_buy_21,Verifiaction of cart count.,"1. Payment option is selected.
 2. User has received an OTP.
 3. User has enter the OTP.
 4. Cart is visible properly.",To validate if cart is visible properly.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. Payment is made successfully.
 5. Order has been placed.","1. Cart is visible propely.
 2. User is able to select the cart.","1. Order has been made successfully.
 2. Cart is visible properly.
 3. User is able to select the cart.
 4. Cart count is decreamented by 1.
 5. Remaining items are displayed properly in cart.",Yes,,,,,,
TC_Procedd_to_buy_22,Verifiaction of cart count.,"1. Payment option is selected.
 2. User has received an OTP.
 3. User has enter the OTP.
 4. Cart is visible properly.",To validate if cart is visible properly.,"1. User selects the preferred payment optn.
 2. User recieves an OTP.
 3. User enters the OTP in stipulated time.
 4. Payment is made successfully.
 5. Order has been placed.","1. Cart is visible propely.
 2. User is able to select the cart.","1. Order has been made successfully.
 2. Cart is visible properly.
 3. User is able to select the cart.
 4. Cart count is decreamented by 1.
 5. Remaining items are displayed properly in cart.
 6. Cart with the new cart count is visible from Amazon home screen also.",Yes,,,,,,
,,,,,,,,,,,,,
TC_Receiving configuration_01,Verification of Confirmation is sent to user's registered mobile number.,"User has already 
 ordered a product from website.",To validate whether Confirmation is sent to user's registered mobile number or not.,"1.Open user's mobile phone and check for message from 'Amazon.in'.
 2.Check if message contains confirmation details or not.",NA,User should find confirmation message from 'Amazon.in' on his phone.,No,,,,,,
TC_Receiving configuration_02,Verification of Confirmation is sent to user's registered Email.,"User has already 
 ordered a product from website.",To validate wheather Confirmation is sent to user's registered Email or not.,"1.Open user's Email and check for Email from 'Amazon.in'.
 2.Check if Email contains confirmation details or not.",NA,User should find confirmation Email from 'Amazon.in' on his Email.,Yes,,,,,,
TC_Receiving configuration_03,Verification of Tracking link is sent to user's registered mobile number.,"User has already 
 ordered a product from website.",To validate Tracking link is sent to user's registered mobile number or not.,"1.Open user's mobile phone and check for message from 'Amazon.in'.
 2.Check if message contains Traking link or not.",NA,User should find Traking Link message from 'Amazon.in' on his phone.,No,,,,,,
TC_Receiving configuration_04,Verification of Tracking link is sent to user's registered Email.,"User has already 
 ordered a product from website.",To validate Tracking link is sent to user's registered Email or not.,"1.Open user's Email and check for Email from 'Amazon.in'.
 2.Check if Email contains Traking Link or not.",NA,User should find Tranking Link Email from 'Amazon.in' on his Email.,Yes,,,,,,
